sentence,remark,lesson,book
"Good, better, best. Never let it rest, till good is better, and better best.",,St. Jerome,
"Pumas are large, cat-like animals which are found in America.",,A Puma at large,New Concept English 3
"When reports came into London Zoo that a wild puma had been spotted 45 miles south of London, they were not taken seriously.",,A Puma at large,New Concept English 3
"However, as the evidence began to accumulate, experts from the Zoo felt obliged to investigate, for the descriptions given by people who claimed to have seen the puma were extraordinarily similar.",,A Puma at large,New Concept English 3
"The hunt for the puma began in a small village where a woman picking blackberries saw ‘a large cat’ only five yards away from her.",,A Puma at large,New Concept English 3
"It immediately ran away when she saw it, and experts confirmed that a puma will not attack a human being unless it is cornered.",,A Puma at large,New Concept English 3
"The search proved difficult, for the puma was often observed at one place in the morning and at another place twenty miles away in the evening.",,A Puma at large,New Concept English 3
"Wherever it went, it left behind it a trail of dead deer and small animals like rabbits.",,A Puma at large,New Concept English 3
"Paw prints were seen in a number of places and puma fur was found clinging to bushes.",,A Puma at large,New Concept English 3
"Several people complained of ‘cat-like noises’ at night and a businessman on a fishing trip saw the puma up a tree.",,A Puma at large,New Concept English 3
"The experts were now fully convinced that the animal was a puma, but where had it come from?",,A Puma at large,New Concept English 3
"As no pumas had been reported missing from any zoo in the country, this one must have been in the possession of a private collector and somehow managed to escape. ",,A Puma at large,New Concept English 3
"The hunt went on for several weeks, but the puma was not caught.",,A Puma at large,New Concept English 3 
"It is disturbing to think that a dangerous wild animal is still at large in the quiet countryside.",,A Puma at large,New Concept English 3
"We can read of things that happened 5,000 years ago in the Near East, where people first learned to write.","我们从书籍中可读到5,000 年前近东发生的事情，那里的人最早学会了写字。",Lesson 1 - Find fossil man,New Concept English 4
"But there are some parts of the world where even now people cannot write.","但直到现在,世界上有些地方，人们还不会书写。",Lesson 1 - Find fossil man,New Concept English 4
"The only way that they can preserve their history is to recount it as sagas -- legends handed down from one generation of storytellers to another.",他们保存历史的唯一办法是将历史当作传说讲述，由讲述人一代接一代地将史实描述为传奇故事口传下来。,Lesson 1 - Find fossil man,New Concept English 4
"These legends are useful because they can tell us something about migrations of people who lived long ago, but none could write down what they did.",这些传说是有用的，因为他们告诉我们很久以前生活在这里的移民的一些事情，但是没有人能写下来。,Lesson 1 - Find fossil man,New Concept English 4
"Anthropologists wondered where the remote ancestors of the Polynesian peoples now living in the Pacific Islands came from.",人类学家过去不清楚如今生活在太平洋诸岛上的波利尼西亚人的祖先来自何方，,Lesson 1 - Find fossil man,New Concept English 4
"The sagas of these people explain that some of them came from Indonesia about 2,000 years ago.","当地人的传说却告诉人们：其中一部分是约在2,000年前从印度尼西亚迁来的。",Lesson 1 - Find fossil man,New Concept English 4
"But the first people who were like ourselves lived so long ago that even their sagas, if they had any, are forgotten.",但是，和我们相似的原始人生活的年代太久远了，因此，有关他们的传说既使有如今也失传了。,Lesson 1 - Find fossil man,New Concept English 4
"So archaeologists have neither history nor legends to help them to find out where the first ""modern men"" came from.",于是，考古学家们既缺乏历史记载，又无口头传说来帮助他们弄清最早的“现代人”是从哪里来的。,Lesson 1 - Find fossil man,New Concept English 4
"Fortunately, however, ancient men made tools of stone, especially flint, because this is easier to shape than other kinds.",然而，幸运的是，远古人用石头制作了工具，特别是用燧石，因为燧石较之其他石头更容易成形。,Lesson 1 - Find fossil man,New Concept English 4
"They may also have used wood and skins, but these have rotted away.",他们也可能用过木头和兽皮，但这类东西早已腐烂殆尽。,Lesson 1 - Find fossil man,New Concept English 4
"Stone does not decay, and so the tools of long ago have remained when even the bones of the men who made them have disappeared without trace.",石头是不会腐烂的。因此，尽管制造这些工具的人的骨头早已荡然无存，但远古时代的石头工具却保存了下来。,Lesson 1 - Find fossil man,New Concept English 4
"Why, you may wonder, should spiders be our friends?","你可能会觉得奇怪， 蜘蛛怎么会是我们的朋友呢？",Lesson 2 - Spare the spider,New Concept English 4
"Because they destroy so many insects, and insects include some of the greatest enemies of the human race.","因为它们能消灭那么多的昆虫，其中包括一些人类的大敌。",Lesson 2 - Spare the spider,New Concept English 4
"Insects would make it impossible for us to live in the world; they would devour all our crops and kill our flocks and herds, if it were not for the protection we get from insect-eating animals.","昆虫就会使我们无法在地球上生活下去，昆虫会吞食我们的全部庄稼，杀死我们的成群的牛羊，要不是人类受一些食虫动物的保护，",Lesson 2 - Spare the spider,New Concept English 4
"We owe a lot to the birds and beasts who eat insects but all of them put together kill only a fraction of the number destroyed by spiders.","我们要十分感谢那些吃昆虫的鸟和兽，然而把它们所杀死的昆虫全部加在一起也只相当于蜘蛛所消灭的一小部分。",Lesson 2 - Spare the spider,New Concept English 4
"Moreover, unlike some of the other insect eaters, spiders never do the least harm to us or our belongings.","此外，蜘蛛不同于其他食虫动物，它们丝毫不危害我们和我们的财物。",Lesson 2 - Spare the spider,New Concept English 4
"Spiders are not insects, as many people think, nor even nearly related to them.","许多人认为蜘蛛是昆虫，但它们不是昆虫，甚至与昆虫毫无关系。",Lesson 2 - Spare the spider,New Concept English 4
"One can tell the difference almost at a glance, for a spider always has eight legs and an insect never more than six.","人们几乎一眼就能看出二者的差异，因为蜘蛛都是8条腿，而昆虫的腿从不超过6条。",Lesson 2 - Spare the spider,New Concept English 4
"How many spiders are engaged in this work on our behalf?","有多少蜘蛛在为我们效力呢？",Lesson 2 - Spare the spider,New Concept English 4
"One authority on spiders made a census of the spiders in a grass field in the south of England, and he estimated that there were more than 2,250,000 in one acre; that is something like 6 million spiders of different kinds on a football pitch.","一位研究蜘蛛的权威对英国南部一块草坪上的蜘蛛作了一次调查，他估计每英亩草坪里有225万多只蜘蛛，这就是说，在一个足球场上约有600万只不同种类的蜘蛛。",Lesson 2 - Spare the spider,New Concept English 4
"Spiders are busy for at least half the year in killing insects.","蜘蛛至少有半年在忙于吃昆虫。",Lesson 2 - Spare the spider,New Concept English 4
"It is impossible to make more than the wildest guess at how many they kill, but they are hungry creatures, not content with only three meals a day.","它们一年中消灭了多少昆虫，我们简直无法猜测，它们是吃不饱的动物，不满意一日三餐。",Lesson 2 - Spare the spider,New Concept English 4
"It has been estimated that the weight of all the insects destroyed by spiders in Britain in one year would be greater than the total weight of all the human beings in the country.","据估计，在英国蜘蛛一年里所消灭昆虫的重量超过这个国家人口的总重量。",Lesson 2 - Spare the spider,New Concept English 4
"Modern alpinists try to climb mountains by a route which will give them good sport, and the more difficult it is, the more highly it is regarded.","现代登山运动员总想找一条能够给他们带来运动乐趣的路线来攀登山峰，他们认为， 道路愈艰险愈带劲儿。",Lesson 3 - Matterhorn man,New Concept English 4
"In the pioneering days, however, this was not the case at all.","然而，在登山运动的初期，全然不是这种情况。",Lesson 3 - Matterhorn man,New Concept English 4
"The early climbers were looking for the easiest way to the top because the summit was the prize they sought, especially if it had never been attained before.","早期登山者所寻找的是通往山顶的最方便的途径，因为顶峰特别是前人未曾到过的顶峰 -- 才是他们寻求的目标。",Lesson 3 - Matterhorn man,New Concept English 4
"It is true that during their explorations they often faced difficulties and dangers of the most perilous nature, equipped in a manner which would make a modern climber shudder at the thought, but they did not go out of their way to court such excitement.","确实，在探险中他们经常遇到惊心动魄的困难和危险，而他们装备之简陋足以使现代登山者一想起来就胆战心惊，但是他们并非故意寻求这种刺激，",Lesson 3 - Matterhorn man,New Concept English 4
"They had a single aim, a solitary goal -- the top!","他们只有一个目标，唯一的目标 -- 顶峰！",Lesson 3 - Matterhorn man,New Concept English 4
"It is hard for us to realize nowadays how difficult it was for the pioneers.","我们今天很难想像昔日的登山先驱们是多么艰苦。",Lesson 3 - Matterhorn man,New Concept English 4
"Except for one or two places such as Zermatt and Chamonix, which had rapidly become popular, Alpine villages tended to be impoverished settlements cut off from civilization by the high mountains.","除了泽曼特和夏蒙尼等一两个很快出了名的地方外，阿尔卑斯山山区的小村几乎全是高山环抱、与世隔绝的穷乡僻壤。",Lesson 3 - Matterhorn man,New Concept English 4
"Such inns as there were were generally dirty and flea-ridden; the food simply local cheese accompanied by bread often 12 months old, all washed down with coarse wine.","那里的小客栈一般都很肮脏，而且跳蚤猖獗；食物是当地的干酪和通常存放了一年之久的面包，人们就着劣酒吞下这种食物。",Lesson 3 - Matterhorn man,New Concept English 4
"Often a valley boasted no inn at all, and climbers found shelter wherever they could --sometimes with the local priest (who was usually as poor as his parishioners), sometimes with shepherds or cheese-makers.","山谷里常常没有小客栈，登山者只好随遇而安，有时同当地牧师 （他通常和他的教民一样穷）住在一起，有时同牧羊人或制乳酪的人住在一起。",Lesson 3 - Matterhorn man,New Concept English 4
"Invariably the background was the same: dirt and poverty, and very uncomfortable.","无论住在哪儿，情况都一样：肮脏、贫穷，极其不舒适。",Lesson 3 - Matterhorn man,New Concept English 4
"For men accustomed to eating seven-course dinners and sleeping between fine linen sheets at home, the change to the Alps must have been very hard indeed.","对于过惯了一顿饭吃7道菜、睡亚麻细布床单的人来说，变换一下生活环境来到阿尔卑斯山山区，那一定是很艰难的。",Lesson 3 - Matterhorn man,New Concept English 4
"Several cases have been reported in Russia recently of people who can read and detect colours with their fingers, and even see through solid doors and walls.","俄罗斯最近报导了几个事例，有人能用手指看书识字和辨认颜色，甚至能透过厚实的门和墙看到东西。",Lesson 4 - Seeing hands,New Concept English 4
"One case concerns an eleven-year-old schoolgirl Vera Petrova, who has normal vision but who can also perceive things with different parts of her skin, and through solid walls.","其中有一例谈到有一个名叫维拉.彼托洛娃的11岁学生，她的视力与常人一样，但她还能用皮肤的不同部位辨认东西，甚至看穿坚实的墙壁。",Lesson 4 - Seeing hands,New Concept English 4
"This ability was first noticed by her father.","是她父亲首先发现她这一功能的。",Lesson 4 - Seeing hands,New Concept English 4
