sentence,remark
如果让你独自去超市买酸奶回来，过程中可能会面临哪些挑战？怎么对付这些挑战？,
洋葱为什么能发芽？,
世界上的消防车云梯最长能伸到多少米？为什么能伸那么长？,
1如果用个词来形容妈妈或某个人，你最想用哪三个？,365个睡前话题
2别人表扬你，你是什么感受呢？,365个睡前话题
3你今天生气是因为什么事情呢？妈妈/爸爸/好朋友不开心了，你会怎么安慰？,365个睡前话题
5你烦恼时，会想做些什么呢？,365个睡前话题
6如果你很快乐，你最想分享给谁？,365个睡前话题
7如果爸爸/妈妈生气了，你会怎么办呢？,365个睡前话题
8什么时候，你会感到非常害怕呀？,365个睡前话题
9遇到害怕的事情怎么办？,365个睡前话题
10当你感到难过，你会做些什么呢？,365个睡前话题
11你做过噩梦吗？你的感受是什么？,365个睡前话题
12妈妈生气吼你的时候，你是什么感受？,365个睡前话题
13什么事情会让你觉得特别害羞？,365个睡前话题
14最近最开心的一次是什么时候和谁在一起？,365个睡前话题
15如果有人冤枉你，你是什么感受？,365个睡前话题
16你觉得自己能做得很好的事情是什么？,365个睡前话题
17今天看的电影（动画片）最打动你的是什么？,365个睡前话题
18今天发什么了什么好笑的事情吗？,365个睡前话题
19今天做的哪件事让你感到骄傲？,365个睡前话题
20做什么事会让你感到很轻松？,365个睡前话题
21你有没有不害怕的人呢？,365个睡前话题
22你觉得妈妈/爸爸什么时候最讨厌？,365个睡前话题
23你对谁很生气？,365个睡前话题
24你想要和谁做朋友？你为什么喜欢跟X一起玩呢？,365个睡前话题
25学校里哪个小朋友穿得最好看？你喜欢这样穿吗？,365个睡前话题
26如果有人不喜欢你，你会怎么办？,365个睡前话题
27你觉得做什么事情很困难？,365个睡前话题
28你觉得自己胆小吗？,365个睡前话题
29什么时候你会感觉孤单？,365个睡前话题
30你非常努力了，但还是输了XX比赛，是什么心情？,365个睡前话题
31你长大了想做什么工作？,365个睡前话题
32长大后你希望成为谁，为什么？,365个睡前话题
33流星划过天空时你想许什么愿望？,365个睡前话题
34你觉得最勇敢的人是谁，为什么？,365个睡前话题
35家庭旅行时你最想去哪里，为什么？,365个睡前话题
36你希望获得朋友身上的哪个优点？,365个睡前话题
37你希望有一个什么样的爸爸？,365个睡前话题
38你希望有一个什么样的妈妈？,365个睡前话题
39过生日时最想要什么礼物？,365个睡前话题
40你最想做成功的事情是什么？,365个睡前话题
41你最想经历的一次冒险是什么样的？,365个睡前话题
42你想把自己装扮成什么？你觉得这会有什么感觉？,365个睡前话题
43你想去哪儿生活？你觉得那里有什么特别？,365个睡前话题
44你最想成为哪部动画片中的角色？为什么？,365个睡前话题
45如果有一盏阿拉丁神灯，你最希望得到什么？,365个睡前话题
46如果你能为自己选一个特长，你会选哪个呢？,365个睡前话题
47你想尝试一下的事是什么？,365个睡前话题
48如果可以养一只宠物，你想养什么？,365个睡前话题
49你想帮助谁？你觉得这个人会接受帮助吗？,365个睡前话题
50你想认识谁？他最有趣的特点是什么？,365个睡前话题
51你梦想的房子是什么样子的？,365个睡前话题
52有没有哪件事是你特别想做但是不敢做的？,365个睡前话题
53有什么东西是你想要但是得不到的吗？,365个睡前话题
54你觉得什么工作最有趣？为什么呢？,365个睡前话题
55你希望每周上学几天？为什么？,365个睡前话题
56长大后你希望自己住还是和爸爸妈妈住？,365个睡前话题
57如果有一座孤岛，你想带谁一起去做什么呢？,365个睡前话题
58如果能给自己取名字，你想取什么名字？,365个睡前话题
59如果可以选择，你希望自己是男孩子还是女孩子？,365个睡前话题
60长大后，你想要去哪个城市/国家生活？,365个睡前话题
61你最喜欢哪个玩具？为什么？,365个睡前话题
62你最喜欢哪一首歌/音乐，为什么？,365个睡前话题
63你最喜欢什么运动，为什么？,365个睡前话题
64你对什么游戏最感兴趣呢？,365个睡前话题
65你喜欢看什么书？,365个睡前话题
66你喜欢画什么样的画？,365个睡前话题
67游乐园里你最喜欢玩什么？,365个睡前话题
68你喜欢的小动物是什么？,365个睡前话题
69你喜欢的动画片有哪些？,365个睡前话题
70你喜欢哪种声音呢？,365个睡前话题
71一周七天，你最喜欢哪一天？,365个睡前话题
72放假的时候，你最想做什么？,365个睡前话题
73课间，你喜欢和朋友们都做些什么呀？,365个睡前话题
74平时做什么事情，最让你快乐呢,365个睡前话题
75儿童节你想表演什么节目？,365个睡前话题
76玩轮滑/滑板的时候摔跤了你是什么心情？,365个睡前话题
77骑自行车是什么感觉？,365个睡前话题
78你喜欢开车吗？你打算什么时候学开车？,365个睡前话题
79你能给妈妈讲一个你喜欢的故事吗？,365个睡前话题
