<div><div>相変わらず</div></div>,あいかわらず,[0],<div>[副]依然，照旧</div>,<div>△相変わらず忙しい毎日を送っている。/每天照旧过得很忙碌。</div>,<div>依然として（いぜんとして）[0] [副]依然，依旧</div>,"",[sound:相変わらず.mp3]
合図,あいず,①,"[名•自他動3]信号,暗号",△合図を送る。/发送信号。,サイン(sign)①[名.自動3]署名；暗号,"",[sound:合図.mp3]
相次いで,あいついで,①,[副]相继，陆续,<div>△相次いで登場する。/相继出场。</div>,"","",[sound:baidu-ac6c0caf-cd8b5855-69845983-0f23bcc3-5725fd84.mp3]
<div>相槌</div>,あいづち,[0]③,[名]随声附和，帮腔,"","",相槌を打つ。/随声附和。,[sound:相槌.mp3]
<div>愛用</div>,あいよう,[0],<div>[名•自動3]喜欢并经常使用</div>,△愛用のかばん/爱用的包,<div>愛飲（あいいん)[0] [名•他動3]爱喝，闲喜欢而一直喝</div>,"",[sound:愛用.mp3]
<div>iron</div>,<!--anki-->アイロン,[0]&nbsp;,[名]熨斗,<div>△スーツにアイロンをかける。/用熨斗熨西服。</div>,"","",[sound:アイロン.mp3]
<div>アウ卜,out,①,[名]外側，外部；出界，出局,<div>△アウトになる。/出局.</div>,<div>イン（in)①[名]内部，内側；界内球，场内球</div>,"",[sound:アウト.mp3]
<div>扇ぐ</div>,あおぐ,②,<div>[他動1](用扇子等）扇风，使起风</div>,<div>△扇子で扇ぐ。/用扇子扇风。</div>,仰ぐ（あおぐ）②[他動1]仰望；尊敬，崇拜;仰仗，依赖&nbsp;,"",[sound:扇ぐ.mp3]
<div>あれだけ&nbsp;</div>,あれだけ,[0],"[副]那样地,那么地",<div>△あれだけ努力したのに失敗した。/都那么努力了，却还是失敗了。</div><div><br /></div>,<div>あれほど[0] [名•副]那样，那么</div>,"",[sound:あれだけ.mp3]
<div>荒れる</div>,あれる,[0]&nbsp;,<div>[自動2]混乱；粗糙；荒芜;（天气）恶劣</div>,<div>△手が荒れる。/手变得粗糙。</div>,"",<div>荒れた庭にも春が来る。/荒芜的田园里</div><div>也有春天来。</div>,[sound:荒れる.mp3]
<div>〜合わせ</div>,〜あわせ,"",<div>[接尾]使……一致，使配合；比赛</div>,<div>△顔合わせ/碰头，碰面</div>
<div>慌て者</div>,あわてもの,[0],[名]胃失鬼，急性子,<div><br /></div>,怠け者（なまけもの）[0][名]懒人,"",[sound:慌て者.mp3]
<div>哀れ</div>,あわれ,①,<div>[名•ナ形]悲哀;可怜的，凄惨的</div>,<div>△人の哀れを誘う。/招人怜悯之心。</div><div>△哀れな姿/一副可怜相</div>,哀れむ（あわれむ）③[他動1]怜悯，怜惜,"",[sound:哀れ.mp3]
<div>案</div>,あん,①,[名]想法，主意;方案，草案,△いい案を思いつく。/想出ー个好点子。,"","",[sound:案.mp3]
<div>餡</div>,あん,①,[名](豆）馅儿,<div>△餡パン/豆沙面包</div>,"","",[sound:案.mp3]
<div>安易</div>,あんい,①[0],[ナ形]容易的；随便的,<div>△安易な態度/随随便便的态度</div>,"","",[sound:安易.mp3]
antenna,アンテナ,[0],[名]天线；获取信息所必要的手段,"","","",[sound:アンテナ.mp3]
<div>〜位</div>,〜い,"",[接尾]……名，位,<div>△1位/第一名</div><div>△最下位/最后一名</div>
<div>言い合う</div>,いいあう,③,<div>[自他動1]相互说……;争吵</div>,△冗談を言い合う。/相互开玩笑，互相调侃。,<div>言い争う（いいあらそう）⑤[自他動1]争</div><div>吵.争论</div>,"",[sound:言い合う.mp3]
<div>言い表す</div><div><br /></div>,いいあらわす,⑤,<div>[他動1]用语言表达</div>,<div>△言葉では言い表せない。/无法用言语表达。</div>,"","",[sound:言い表す.mp3]
<div>いい加減</div>,いいかげん,[0],<div>[名•ナ形•副]适度;适可而止;敷衍;很</div>,△いい加減にしろ！/适可而止吧！<div><div>△いい加減な返答/敷衍的回答</div></div>,"","",[sound:baidu-38482c7a-8143ed05-46c13162-026ddb5d-9bac3009.mp3]
<div>言い付ける</div>,いいつける,④,<div>[他動2]命令，吩咐;告发，告密</div>,<div>△仕事を言い付ける。/吩咐工作。</div><div>△何かあったらすぐ先生に言い付ける。/一发生点什么立马向老师打小报告。</div>,"","",[sound:baidu-8883bfef-70b45097-bd8087b5-cb13d4f7-a1e94ce6.mp3]
<div><div>言い伝える</div></div>,いいつたえる,⑤④[0],<div>[他動2]传达•转告;流传</div>,<div>△用事を言い伝える。/转达事情。&nbsp;</div>,"","",[sound:言い伝える.mp3]
<div>言い分</div>,いいぶん,[0],[名]主张，意见;不满,<div>△自分の言い分を通す。/堅持自己的主张。</div><div>△こっちだって言い分がある。/我也有不满。</div>,"","",[sound:言い分.mp3]
言い訳,いいわけ,[0],[名•自動3]解释，辩解,△言い訳をする。/找借ロ，辩解。,<div>口実（こうじつ）[0] [名]借口；理由</div>,"",[sound:言い訳.mp3]
<div>委員</div>,いいん,①,[名]委员，负责人,<div>△学級委員/班干部</div>,"","",[sound:委員.mp3]
<div>怒り </div>,いかり,③[0],[名]愤怒，生气,<div>△怒りを買う。/惹人发怒。</div>,"<div>怒る（おこる）②[自動1]发火，发怒;怒斥,训斥</div>","",[sound:怒り.mp3]
<div>行き</div>,いき/ゆき,[0],"[名•接尾]去,往； 方向",<div>△行きは地下鉄で帰りはパスだ。/去时坐地铁，回来搭公交车。</div>,"","",[sound:行き.mp3]
<div>勢い</div>,いきおい,③,[名]气势，势头,<div>△勢いに乗る。/乘势。</div>,"",<div>破竹の勢い/破竹之势，势如破竹</div>,[sound:勢い.mp3]
<div>生きがい</div>,いきがい,[0]③,"<div>[名]生存的意义,生活的目标</div>",<div>生きがいのある人生/有意义的人生</div>,<div>やりがい[0][名]做(某事）的价值</div>,"",[sound:baidu-0b3c0637-1420e777-07d79571-c329c50c-6da1da88.mp3]
<div>生き残る</div>,いきのこる,④[0],<div>[自動1]幸存，活下来</div>,<div>△飛行機事故で生き残った人/在飞机事故中幸存下来的人</div>,"","",[sound:生き残る.mp3]
<div>育児</div>,いくじ,①,[名•自動3]育婴，育儿,<div>△育児休暇/育婴假</div>,"","",[sound:育児.mp3]
<div>幾分</div>,いくぶん,[0],"<div>[名•副]一部分;少许,一点儿</div>",<div>△賞金の幾分かを寄付する。/将奖金的一部分捐赠。</div>,"","",[sound:幾分.mp3]
<div>以降</div>,いこう,①,[名]……以后，……之后,<div>△夜10時以降は外出禁止だ。/晚上十点以后禁止外出。&nbsp;</div>,"","",[sound:以降.mp3]
equal,イコ一ル,②,"[名]等于，相等,等号",<div>△2かける3イコール6/ニ乘以三等于六</div>,"","",[sound:イコール.mp3]
<div>いささか</div>,<div>いささか</div>,②,[名•副]有点;丝毫(不）,<div>△いささかの不满もない。/没有一点不满。</div><div>△いささか自信がある。/有一点信心。&nbsp;</div>,"","",[sound:baidu-e6dfbff5-94e2ae8c-4c6925be-0c888bfb-9b0e9217.mp3]
<div>いざという時</div>,いざというとき,①,<div>[副]紧要关头，危急时刻</div>,<div>△いざという時に備える。/以备不时之需。</div>,"","",[sound:baidu-d1902b1b-717cae3d-c37a3962-ad258664-bd05bb44.mp3]
<div>いざとなると/いざとなれば/いざとなつたら</div>,<div>いざとなると/いざとなれば/いざとなつたら</div>,①,<div>[副]一到关键时刻，万一出现紧急状况</div>,<div>△いざとなるとすぐ逃げてしまう。/一旦发生什么紧急情况立马就逃走了。&nbsp;</div>,"","",[sound:baidu-91703290-82d2270b-b3700f58-7359cc40-69a4356b.mp3]
<div>勇ましい</div>,いさましい,④,<div>[イ形]勇敢的；生气勃勃的</div>,<div>△勇ましい兵士/勇敢的战士</div>,"","",[sound:勇ましい.mp3]
<div>意思</div>,いし,①,[名]意思，想法,意思伝速/传达意思,<div>△意志（いし）①[名]意志</div><div>△医師（いし）①[名]医生</div><div><br /></div>,"",[sound:意思.mp3]
<div>維持</div>,いじ,①,"[名•他動3]维持,维护",<div>△平和を維持する。/維持和平。</div>,"","",[sound:維持.mp3]
いじめる&nbsp;,いじめる,[0],[他動2]欺负,△子どもたちが亀をいじめている。/孩子们在欺负乌龟。,"","",[sound:baidu-85bf62b3-9a3a3abf-79ac80b6-85895d61-be5fa3f9.mp3]
<div>衣食住</div>,いしょくじゅう,③②,[名]吃穿住,<div>△衣食住に困らない。/不愁吃穿住。</div>,"","",[sound:衣食住.mp3]
<div>意地悪</div>,いじわる,③②,<div>[名•ナ形]找人麻烦;坏心眼的</div>,<div>△意地悪なばあさん/爱刁难人的老太婆</div>,意地悪い（いじわるい）④[イ形]使坏的，刁难人的,"",[sound:意地悪.mp3]
<div>泉</div>,いずみ,[0],[名]泉，泉水;源泉，源头,<div>△泉が湧き出る。/泉水涌出。</div><div>△知識の泉/知识的源泉</div>,<div>源(みなもと）[0][名]源头;起源，根源</div>,"",[sound:泉.mp3]
